FID,nome_orige
RedeUrbanaSintese_Regic2007.1562,Capivari
RedeUrbanaSintese_Regic2007.1563,Charqueada
RedeUrbanaSintese_Regic2007.1564,Laranjal Paulista
RedeUrbanaSintese_Regic2007.1565,Rio Claro
RedeUrbanaSintese_Regic2007.1566,Rio das Pedras
RedeUrbanaSintese_Regic2007.1567,Saltinho
RedeUrbanaSintese_Regic2007.1568,Santa Maria da Serra
RedeUrbanaSintese_Regic2007.1569,Afonso Bezerra
RedeUrbanaSintese_Regic2007.1570,São Pedro
RedeUrbanaSintese_Regic2007.1571,Fartura
RedeUrbanaSintese_Regic2007.1572,Sarutaiá
RedeUrbanaSintese_Regic2007.1573,Tejupá
RedeUrbanaSintese_Regic2007.1574,Timburi
RedeUrbanaSintese_Regic2007.1575,Caiuá
RedeUrbanaSintese_Regic2007.1576,Santa Rita do Pardo
RedeUrbanaSintese_Regic2007.1577,Marabá Paulista
RedeUrbanaSintese_Regic2007.1578,Piquerobi
RedeUrbanaSintese_Regic2007.1579,João Ramalho
RedeUrbanaSintese_Regic2007.1580,Afonso Bezerra
RedeUrbanaSintese_Regic2007.1581,Barra do Turvo
RedeUrbanaSintese_Regic2007.1582,Cajati
RedeUrbanaSintese_Regic2007.1583,Cananéia
RedeUrbanaSintese_Regic2007.1584,Eldorado
RedeUrbanaSintese_Regic2007.1585,Iguape
RedeUrbanaSintese_Regic2007.1586,Ilha Comprida
RedeUrbanaSintese_Regic2007.1587,Iporanga
RedeUrbanaSintese_Regic2007.1588,Jacupiranga
RedeUrbanaSintese_Regic2007.1589,Juquiá
RedeUrbanaSintese_Regic2007.1590,Miracatu
RedeUrbanaSintese_Regic2007.1591,Alto do Rodrigues
RedeUrbanaSintese_Regic2007.1592,Pariquera-Açu
RedeUrbanaSintese_Regic2007.1593,Sete Barras
RedeUrbanaSintese_Regic2007.1594,Espírito Santo do Turvo
RedeUrbanaSintese_Regic2007.1595,São Pedro do Turvo
RedeUrbanaSintese_Regic2007.1596,Nova Canaã Paulista
RedeUrbanaSintese_Regic2007.1615,Areiópolis
RedeUrbanaSintese_Regic2007.1597,Rubinéia
RedeUrbanaSintese_Regic2007.1598,Santa Clara d'Oeste
RedeUrbanaSintese_Regic2007.1599,Santana da Ponte Pensa
RedeUrbanaSintese_Regic2007.1600,Santa Rita d'Oeste
RedeUrbanaSintese_Regic2007.1601,Três Fronteiras
RedeUrbanaSintese_Regic2007.1602,Alto do Rodrigues
RedeUrbanaSintese_Regic2007.6284,Divinópolis do Tocantins
RedeUrbanaSintese_Regic2007.2452,Tonantins
RedeUrbanaSintese_Regic2007.1603,Aparecida do Taboado
RedeUrbanaSintese_Regic2007.1604,Aguaí
RedeUrbanaSintese_Regic2007.1605,Águas da Prata
RedeUrbanaSintese_Regic2007.1606,Casa Branca
RedeUrbanaSintese_Regic2007.1607,Espírito Santo do Pinhal
RedeUrbanaSintese_Regic2007.1608,Vargem Grande do Sul
RedeUrbanaSintese_Regic2007.1609,Caconde
RedeUrbanaSintese_Regic2007.1610,Divinolândia
RedeUrbanaSintese_Regic2007.1611,Itobi
RedeUrbanaSintese_Regic2007.1612,São Sebastião da Grama
RedeUrbanaSintese_Regic2007.1613,Angicos
RedeUrbanaSintese_Regic2007.1614,Tapiratiba
RedeUrbanaSintese_Regic2007.1616,Pratânia
RedeUrbanaSintese_Regic2007.1617,Cândido Rodrigues
RedeUrbanaSintese_Regic2007.1618,Santa Ernestina
RedeUrbanaSintese_Regic2007.1619,Cesário Lange
RedeUrbanaSintese_Regic2007.1620,Pereiras
RedeUrbanaSintese_Regic2007.1621,Porangaba
RedeUrbanaSintese_Regic2007.1622,Quadra
RedeUrbanaSintese_Regic2007.1623,Torre de Pedra
RedeUrbanaSintese_Regic2007.1624,Angicos
RedeUrbanaSintese_Regic2007.1625,Jumirim
RedeUrbanaSintese_Regic2007.1626,Arco-Íris
RedeUrbanaSintese_Regic2007.1627,Bastos
RedeUrbanaSintese_Regic2007.1628,Herculândia
RedeUrbanaSintese_Regic2007.1629,Iacri
RedeUrbanaSintese_Regic2007.1630,Parapuã
RedeUrbanaSintese_Regic2007.1631,Queiroz
RedeUrbanaSintese_Regic2007.1632,Rinópolis
RedeUrbanaSintese_Regic2007.1633,Álvares Florence
RedeUrbanaSintese_Regic2007.1634,Américo de Campos
RedeUrbanaSintese_Regic2007.1635,Carnaubais
RedeUrbanaSintese_Regic2007.1636,Cardoso
RedeUrbanaSintese_Regic2007.2393,Alvorada d'Oeste
RedeUrbanaSintese_Regic2007.1637,Cosmorama
RedeUrbanaSintese_Regic2007.1638,Floreal
RedeUrbanaSintese_Regic2007.1639,Nhandeara
RedeUrbanaSintese_Regic2007.1640,Parisi
RedeUrbanaSintese_Regic2007.1641,Pontes Gestal
RedeUrbanaSintese_Regic2007.1642,Riolândia
RedeUrbanaSintese_Regic2007.1643,Sebastianópolis do Sul
RedeUrbanaSintese_Regic2007.1644,Valentim Gentil
RedeUrbanaSintese_Regic2007.1645,Barra do Jacaré
RedeUrbanaSintese_Regic2007.1646,Carnaubais
RedeUrbanaSintese_Regic2007.1647,Borrazópolis
RedeUrbanaSintese_Regic2007.1648,Califórnia
RedeUrbanaSintese_Regic2007.1649,Cruzmaltina
RedeUrbanaSintese_Regic2007.1650,Jandaia do Sul
RedeUrbanaSintese_Regic2007.1651,Kaloré
RedeUrbanaSintese_Regic2007.1652,Marilândia do Sul
RedeUrbanaSintese_Regic2007.1653,Mauá da Serra
RedeUrbanaSintese_Regic2007.1654,Novo Itacolomi
RedeUrbanaSintese_Regic2007.1655,Rio Bom
RedeUrbanaSintese_Regic2007.1656,Pitangueiras
RedeUrbanaSintese_Regic2007.5253,Careiro
RedeUrbanaSintese_Regic2007.1657,Fernando Pedroza
RedeUrbanaSintese_Regic2007.1658,Sabáudia
RedeUrbanaSintese_Regic2007.1659,Itambaracá
RedeUrbanaSintese_Regic2007.1660,Araruna
RedeUrbanaSintese_Regic2007.1661,Barbosa Ferraz
RedeUrbanaSintese_Regic2007.1662,Boa Esperança
RedeUrbanaSintese_Regic2007.1663,Campina da Lagoa
RedeUrbanaSintese_Regic2007.1664,Corumbataí do Sul
RedeUrbanaSintese_Regic2007.1665,Farol
RedeUrbanaSintese_Regic2007.1666,Fênix
RedeUrbanaSintese_Regic2007.2417,Santa Rosa do Purus
RedeUrbanaSintese_Regic2007.1667,Goioerê
RedeUrbanaSintese_Regic2007.1668,Santana dos Garrotes
RedeUrbanaSintese_Regic2007.1669,Fernando Pedroza
RedeUrbanaSintese_Regic2007.1670,Iretama
RedeUrbanaSintese_Regic2007.1671,Janiópolis
RedeUrbanaSintese_Regic2007.1672,Juranda
RedeUrbanaSintese_Regic2007.1673,Luiziana
RedeUrbanaSintese_Regic2007.1674,Mamborê
RedeUrbanaSintese_Regic2007.1675,Nova Cantu
RedeUrbanaSintese_Regic2007.1676,Nova Tebas
RedeUrbanaSintese_Regic2007.2394,Nova União
RedeUrbanaSintese_Regic2007.1677,Peabiru
RedeUrbanaSintese_Regic2007.1678,Quinta do Sol
RedeUrbanaSintese_Regic2007.1679,Roncador
RedeUrbanaSintese_Regic2007.1680,Ipanguaçu
RedeUrbanaSintese_Regic2007.1681,Terra Boa
RedeUrbanaSintese_Regic2007.1682,Ubiratã
RedeUrbanaSintese_Regic2007.1683,Pérola d'Oeste
RedeUrbanaSintese_Regic2007.1684,Saudade do Iguaçu
RedeUrbanaSintese_Regic2007.1685,Sulina
RedeUrbanaSintese_Regic2007.1686,Guaporema
RedeUrbanaSintese_Regic2007.1687,Indianópolis
RedeUrbanaSintese_Regic2007.1688,Japurá
RedeUrbanaSintese_Regic2007.1689,Jussara
RedeUrbanaSintese_Regic2007.1690,Rondon
RedeUrbanaSintese_Regic2007.1691,Ipanguaçu
RedeUrbanaSintese_Regic2007.1692,São Manoel do Paraná
RedeUrbanaSintese_Regic2007.1693,São Tomé
RedeUrbanaSintese_Regic2007.1694,Tapejara
RedeUrbanaSintese_Regic2007.1695,Terra Boa
RedeUrbanaSintese_Regic2007.1696,Tuneiras do Oeste
RedeUrbanaSintese_Regic2007.1697,Congonhinhas
RedeUrbanaSintese_Regic2007.1698,Leópolis
RedeUrbanaSintese_Regic2007.1699,Nova América da Colina
RedeUrbanaSintese_Regic2007.1700,Nova Fátima
RedeUrbanaSintese_Regic2007.1701,Nova Santa Bárbara
RedeUrbanaSintese_Regic2007.1702,Itajá
RedeUrbanaSintese_Regic2007.1703,Rancho Alegre
RedeUrbanaSintese_Regic2007.1704,Santa Amélia
RedeUrbanaSintese_Regic2007.1705,Santa Mariana
RedeUrbanaSintese_Regic2007.1706,Santo Antônio do Paraíso
RedeUrbanaSintese_Regic2007.1707,São Sebastião da Amoreira
RedeUrbanaSintese_Regic2007.1708,Sertaneja
RedeUrbanaSintese_Regic2007.1709,Uraí
RedeUrbanaSintese_Regic2007.1710,Honório Serpa
RedeUrbanaSintese_Regic2007.1711,Mangueirinha
RedeUrbanaSintese_Regic2007.1712,Cruzmaltina
RedeUrbanaSintese_Regic2007.1713,Itajá
RedeUrbanaSintese_Regic2007.1714,Grandes Rios
RedeUrbanaSintese_Regic2007.1715,Itaipulândia
RedeUrbanaSintese_Regic2007.1716,Medianeira
RedeUrbanaSintese_Regic2007.1717,Santa Terezinha de Itaipu
RedeUrbanaSintese_Regic2007.1718,São Miguel do Iguaçu
RedeUrbanaSintese_Regic2007.1719,Ampére
RedeUrbanaSintese_Regic2007.1720,Barracão
RedeUrbanaSintese_Regic2007.1721,Bela Vista da Caroba
RedeUrbanaSintese_Regic2007.1722,Dois Vizinhos
RedeUrbanaSintese_Regic2007.1723,Enéas Marques
RedeUrbanaSintese_Regic2007.1724,Lajes
RedeUrbanaSintese_Regic2007.1725,Flor da Serra do Sul
RedeUrbanaSintese_Regic2007.1726,Manfrinópolis
RedeUrbanaSintese_Regic2007.1727,Marmeleiro
RedeUrbanaSintese_Regic2007.1728,Nova Esperança do Sudoeste
RedeUrbanaSintese_Regic2007.1729,Nova Prata do Iguaçu
RedeUrbanaSintese_Regic2007.1730,Pinhal de São Bento
RedeUrbanaSintese_Regic2007.1731,Pranchita
RedeUrbanaSintese_Regic2007.1732,Realeza
RedeUrbanaSintese_Regic2007.1733,Renascença
RedeUrbanaSintese_Regic2007.1734,Salgado Filho
RedeUrbanaSintese_Regic2007.1735,Lajes
RedeUrbanaSintese_Regic2007.1736,Santa Izabel do Oeste
RedeUrbanaSintese_Regic2007.1737,Santo Antônio do Sudoeste
RedeUrbanaSintese_Regic2007.5306,Salinópolis
RedeUrbanaSintese_Regic2007.1738,Verê
RedeUrbanaSintese_Regic2007.1739,Campo Erê
RedeUrbanaSintese_Regic2007.1740,Terra Roxa
RedeUrbanaSintese_Regic2007.1741,Conselheiro Mairinck
RedeUrbanaSintese_Regic2007.1742,Jaboti
RedeUrbanaSintese_Regic2007.1743,Japira
RedeUrbanaSintese_Regic2007.1744,Pinhalão
RedeUrbanaSintese_Regic2007.1745,Tomazina
RedeUrbanaSintese_Regic2007.1746,Paraú
RedeUrbanaSintese_Regic2007.1747,Fernandes Pinheiro
RedeUrbanaSintese_Regic2007.1748,Guamiranga
RedeUrbanaSintese_Regic2007.1749,Imbituva
RedeUrbanaSintese_Regic2007.1750,Mallet
RedeUrbanaSintese_Regic2007.1751,Rebouças
RedeUrbanaSintese_Regic2007.1752,Rio Azul
RedeUrbanaSintese_Regic2007.1753,Teixeira Soares
RedeUrbanaSintese_Regic2007.1754,Arapuã
RedeUrbanaSintese_Regic2007.1755,Ariranha do Ivaí
RedeUrbanaSintese_Regic2007.1756,Cândido de Abreu
RedeUrbanaSintese_Regic2007.1757,Paraú
RedeUrbanaSintese_Regic2007.1758,Grandes Rios
RedeUrbanaSintese_Regic2007.1759,Lidianópolis
RedeUrbanaSintese_Regic2007.1760,Lunardelli
RedeUrbanaSintese_Regic2007.1761,Manoel Ribas
RedeUrbanaSintese_Regic2007.1762,Rio Branco do Ivaí
RedeUrbanaSintese_Regic2007.1763,Rosário do Ivaí
RedeUrbanaSintese_Regic2007.1764,São João do Ivaí
RedeUrbanaSintese_Regic2007.1765,Cambará
RedeUrbanaSintese_Regic2007.1766,Ribeirão Claro
RedeUrbanaSintese_Regic2007.1767,Arapoti
RedeUrbanaSintese_Regic2007.1768,Pendências
RedeUrbanaSintese_Regic2007.1769,Foz do Jordão
RedeUrbanaSintese_Regic2007.1770,Marquinho
RedeUrbanaSintese_Regic2007.1771,Nova Laranjeiras
RedeUrbanaSintese_Regic2007.1772,Porto Barreiro
RedeUrbanaSintese_Regic2007.1773,Rio Bonito do Iguaçu
RedeUrbanaSintese_Regic2007.1774,Virmond
RedeUrbanaSintese_Regic2007.1775,Entre Rios do Oeste
RedeUrbanaSintese_Regic2007.1776,Mercedes
RedeUrbanaSintese_Regic2007.1777,Nova Santa Rosa
RedeUrbanaSintese_Regic2007.1778,Pato Bragado
RedeUrbanaSintese_Regic2007.1779,Cajazeirinhas
RedeUrbanaSintese_Regic2007.5307,Salvaterra
RedeUrbanaSintese_Regic2007.1780,Pendências
RedeUrbanaSintese_Regic2007.1781,Quatro Pontes
RedeUrbanaSintese_Regic2007.1782,Coronel Domingos Soares
RedeUrbanaSintese_Regic2007.1783,São João do Triunfo
RedeUrbanaSintese_Regic2007.1784,Inajá
RedeUrbanaSintese_Regic2007.1785,Alto Paraná
RedeUrbanaSintese_Regic2007.1786,Amaporã
RedeUrbanaSintese_Regic2007.1787,Diamante do Norte
RedeUrbanaSintese_Regic2007.1788,Guairaçá
RedeUrbanaSintese_Regic2007.1789,Itaúna do Sul
RedeUrbanaSintese_Regic2007.1790,Loanda
RedeUrbanaSintese_Regic2007.1791,Porto do Mangue
RedeUrbanaSintese_Regic2007.1792,Mirador
RedeUrbanaSintese_Regic2007.1793,Nova Aliança do Ivaí
RedeUrbanaSintese_Regic2007.1794,Nova Londrina
RedeUrbanaSintese_Regic2007.1795,Paraíso do Norte
RedeUrbanaSintese_Regic2007.1796,Planaltina do Paraná
RedeUrbanaSintese_Regic2007.1797,Santo Antônio do Caiuá
RedeUrbanaSintese_Regic2007.1798,São Carlos do Ivaí
RedeUrbanaSintese_Regic2007.1799,São João do Caiuá
RedeUrbanaSintese_Regic2007.1800,Tamboara
RedeUrbanaSintese_Regic2007.1801,Terra Rica
RedeUrbanaSintese_Regic2007.1802,Porto do Mangue
RedeUrbanaSintese_Regic2007.1803,Boa Ventura de São Roque
RedeUrbanaSintese_Regic2007.1804,Laranjal
RedeUrbanaSintese_Regic2007.1805,Nova Tebas
RedeUrbanaSintese_Regic2007.1806,Santa Maria do Oeste
RedeUrbanaSintese_Regic2007.1807,Guamiranga
RedeUrbanaSintese_Regic2007.1808,Guamiranga
RedeUrbanaSintese_Regic2007.1809,Espigão Alto do Iguaçu
RedeUrbanaSintese_Regic2007.1810,Abatiá
RedeUrbanaSintese_Regic2007.1811,Barra do Jacaré
RedeUrbanaSintese_Regic2007.1812,Carlópolis
RedeUrbanaSintese_Regic2007.1813,São Rafael
RedeUrbanaSintese_Regic2007.1814,Guapirama
RedeUrbanaSintese_Regic2007.1815,Joaquim Távora
RedeUrbanaSintese_Regic2007.1816,Jundiaí do Sul
RedeUrbanaSintese_Regic2007.1817,Quatiguá
RedeUrbanaSintese_Regic2007.1840,Gaspar
RedeUrbanaSintese_Regic2007.1818,Siqueira Campos
RedeUrbanaSintese_Regic2007.1819,Tomazina
RedeUrbanaSintese_Regic2007.1820,Antônio Olinto
RedeUrbanaSintese_Regic2007.1821,Curiúva
RedeUrbanaSintese_Regic2007.1822,Imbaú
RedeUrbanaSintese_Regic2007.1823,Ortigueira
RedeUrbanaSintese_Regic2007.1824,São Rafael
RedeUrbanaSintese_Regic2007.1825,Reserva
RedeUrbanaSintese_Regic2007.1826,Tibagi
RedeUrbanaSintese_Regic2007.1827,Ventania
RedeUrbanaSintese_Regic2007.1828,Assis Chateaubriand
RedeUrbanaSintese_Regic2007.1829,Maripá
RedeUrbanaSintese_Regic2007.1830,Ouro Verde do Oeste
RedeUrbanaSintese_Regic2007.1831,Palotina
RedeUrbanaSintese_Regic2007.1832,São José das Palmeiras
RedeUrbanaSintese_Regic2007.1833,São Pedro do Iguaçu
RedeUrbanaSintese_Regic2007.1834,Apiúna
RedeUrbanaSintese_Regic2007.1835,Triunfo Potiguar
RedeUrbanaSintese_Regic2007.1836,Ascurra
RedeUrbanaSintese_Regic2007.1837,Balneário Camboriú
RedeUrbanaSintese_Regic2007.1838,Benedito Novo
RedeUrbanaSintese_Regic2007.1839,Brusque
RedeUrbanaSintese_Regic2007.1841,Indaial
RedeUrbanaSintese_Regic2007.1842,Pomerode
RedeUrbanaSintese_Regic2007.1843,Presidente Getúlio
RedeUrbanaSintese_Regic2007.1844,Rio do Sul
RedeUrbanaSintese_Regic2007.1845,Timbó
RedeUrbanaSintese_Regic2007.1846,Triunfo Potiguar
RedeUrbanaSintese_Regic2007.1847,Apiúna
RedeUrbanaSintese_Regic2007.1848,Ascurra
RedeUrbanaSintese_Regic2007.1849,Balneário Camboriú
RedeUrbanaSintese_Regic2007.1850,Benedito Novo
RedeUrbanaSintese_Regic2007.1851,Brusque
RedeUrbanaSintese_Regic2007.1852,Gaspar
RedeUrbanaSintese_Regic2007.1853,Indaial
RedeUrbanaSintese_Regic2007.1854,Pomerode
RedeUrbanaSintese_Regic2007.1855,Presidente Getúlio
RedeUrbanaSintese_Regic2007.1856,Rio do Sul
RedeUrbanaSintese_Regic2007.1857,Pilões
RedeUrbanaSintese_Regic2007.1858,Timbó
RedeUrbanaSintese_Regic2007.1859,Lebon Régis
RedeUrbanaSintese_Regic2007.1860,Matos Costa
RedeUrbanaSintese_Regic2007.1861,Timbó Grande
RedeUrbanaSintese_Regic2007.5410,Gravatá
RedeUrbanaSintese_Regic2007.1862,Videira
RedeUrbanaSintese_Regic2007.1863,Lebon Régis
RedeUrbanaSintese_Regic2007.1864,Matos Costa
RedeUrbanaSintese_Regic2007.1865,Timbó Grande
RedeUrbanaSintese_Regic2007.1866,Videira
RedeUrbanaSintese_Regic2007.1867,Águas de Chapecó
RedeUrbanaSintese_Regic2007.1868,Pilões
RedeUrbanaSintese_Regic2007.1869,Águas Frias
RedeUrbanaSintese_Regic2007.1870,Arvoredo
RedeUrbanaSintese_Regic2007.1871,Caibi
RedeUrbanaSintese_Regic2007.1872,Caxambu do Sul
RedeUrbanaSintese_Regic2007.1873,Concórdia
RedeUrbanaSintese_Regic2007.1874,Cordilheira Alta
RedeUrbanaSintese_Regic2007.1875,Coronel Freitas
RedeUrbanaSintese_Regic2007.1876,Cunhataí
RedeUrbanaSintese_Regic2007.1877,Formosa do Sul
RedeUrbanaSintese_Regic2007.1878,Guatambú
RedeUrbanaSintese_Regic2007.1879,Rodolfo Fernandes
RedeUrbanaSintese_Regic2007.1880,Irati
RedeUrbanaSintese_Regic2007.1881,Jardinópolis
RedeUrbanaSintese_Regic2007.1882,Maravilha
RedeUrbanaSintese_Regic2007.1883,Modelo
RedeUrbanaSintese_Regic2007.1884,Mondaí
RedeUrbanaSintese_Regic2007.1885,Nova Erechim
RedeUrbanaSintese_Regic2007.1886,Nova Itaberaba
RedeUrbanaSintese_Regic2007.1887,Palmitos
RedeUrbanaSintese_Regic2007.1888,Pinhalzinho
RedeUrbanaSintese_Regic2007.1889,Planalto Alegre
RedeUrbanaSintese_Regic2007.1890,Condado
RedeUrbanaSintese_Regic2007.1891,Rodolfo Fernandes
RedeUrbanaSintese_Regic2007.1892,Quilombo
RedeUrbanaSintese_Regic2007.1893,Riqueza
RedeUrbanaSintese_Regic2007.1894,Santiago do Sul
RedeUrbanaSintese_Regic2007.1895,São Carlos
RedeUrbanaSintese_Regic2007.1896,São Lourenço do Oeste
RedeUrbanaSintese_Regic2007.1897,São Miguel do Oeste
RedeUrbanaSintese_Regic2007.1898,Seara
RedeUrbanaSintese_Regic2007.1899,Serra Alta
RedeUrbanaSintese_Regic2007.1900,União do Oeste
RedeUrbanaSintese_Regic2007.1901,Xanxerê
RedeUrbanaSintese_Regic2007.1902,Severiano Melo
RedeUrbanaSintese_Regic2007.2395,São Francisco do Guaporé
RedeUrbanaSintese_Regic2007.1903,Xaxim
RedeUrbanaSintese_Regic2007.1904,Alpestre
RedeUrbanaSintese_Regic2007.1905,Nonoai
RedeUrbanaSintese_Regic2007.1906,Planalto
RedeUrbanaSintese_Regic2007.1907,Trindade do Sul
RedeUrbanaSintese_Regic2007.1908,Águas de Chapecó
RedeUrbanaSintese_Regic2007.1909,Águas Frias
RedeUrbanaSintese_Regic2007.1910,Arvoredo
RedeUrbanaSintese_Regic2007.1911,Caibi
RedeUrbanaSintese_Regic2007.1912,Caxambu do Sul
RedeUrbanaSintese_Regic2007.1913,Severiano Melo
RedeUrbanaSintese_Regic2007.1914,Concórdia
RedeUrbanaSintese_Regic2007.1915,Cordilheira Alta
RedeUrbanaSintese_Regic2007.1916,Coronel Freitas
RedeUrbanaSintese_Regic2007.1917,Cunhataí
RedeUrbanaSintese_Regic2007.1918,Formosa do Sul
RedeUrbanaSintese_Regic2007.1919,Guatambú
RedeUrbanaSintese_Regic2007.1920,Irati
RedeUrbanaSintese_Regic2007.1921,Jardinópolis
RedeUrbanaSintese_Regic2007.1922,Maravilha
RedeUrbanaSintese_Regic2007.2396,Seringueiras
RedeUrbanaSintese_Regic2007.1923,Modelo
RedeUrbanaSintese_Regic2007.1924,Equador
RedeUrbanaSintese_Regic2007.1925,Mondaí
RedeUrbanaSintese_Regic2007.1926,Nova Erechim
RedeUrbanaSintese_Regic2007.1927,Nova Itaberaba
RedeUrbanaSintese_Regic2007.1928,Palmitos
RedeUrbanaSintese_Regic2007.1929,Pinhalzinho
RedeUrbanaSintese_Regic2007.1930,Planalto Alegre
RedeUrbanaSintese_Regic2007.1931,Quilombo
RedeUrbanaSintese_Regic2007.1932,Riqueza
RedeUrbanaSintese_Regic2007.1933,Santiago do Sul
RedeUrbanaSintese_Regic2007.1934,São Carlos
RedeUrbanaSintese_Regic2007.1935,Equador
RedeUrbanaSintese_Regic2007.1936,São Lourenço do Oeste
RedeUrbanaSintese_Regic2007.1937,São Miguel do Oeste
RedeUrbanaSintese_Regic2007.1938,Seara
RedeUrbanaSintese_Regic2007.1939,Serra Alta
RedeUrbanaSintese_Regic2007.1940,União do Oeste
RedeUrbanaSintese_Regic2007.1941,Xanxerê
RedeUrbanaSintese_Regic2007.1942,Xaxim
RedeUrbanaSintese_Regic2007.5803,Indiara
RedeUrbanaSintese_Regic2007.1943,Alpestre
RedeUrbanaSintese_Regic2007.1944,Nonoai
RedeUrbanaSintese_Regic2007.1945,Planalto
RedeUrbanaSintese_Regic2007.1946,Santana do Seridó
RedeUrbanaSintese_Regic2007.1947,Trindade do Sul
RedeUrbanaSintese_Regic2007.1948,Araranguá
RedeUrbanaSintese_Regic2007.1949,Cocal do Sul
RedeUrbanaSintese_Regic2007.1950,Forquilhinha
RedeUrbanaSintese_Regic2007.1951,Içara
RedeUrbanaSintese_Regic2007.1952,Lauro Muller
RedeUrbanaSintese_Regic2007.1953,Morro da Fumaça
RedeUrbanaSintese_Regic2007.1954,Nova Veneza
RedeUrbanaSintese_Regic2007.1955,Orleans
RedeUrbanaSintese_Regic2007.1956,Siderópolis
RedeUrbanaSintese_Regic2007.1957,Santana do Seridó
RedeUrbanaSintese_Regic2007.1958,Treviso
RedeUrbanaSintese_Regic2007.1959,Urussanga
RedeUrbanaSintese_Regic2007.1960,Araranguá
RedeUrbanaSintese_Regic2007.1961,Cocal do Sul
RedeUrbanaSintese_Regic2007.1962,Forquilhinha
RedeUrbanaSintese_Regic2007.2397,Teixeirópolis
RedeUrbanaSintese_Regic2007.1963,Içara
RedeUrbanaSintese_Regic2007.1964,Lauro Muller
RedeUrbanaSintese_Regic2007.1965,Morro da Fumaça
RedeUrbanaSintese_Regic2007.1966,Nova Veneza
RedeUrbanaSintese_Regic2007.1967,Orleans
RedeUrbanaSintese_Regic2007.1968,Almino Afonso
RedeUrbanaSintese_Regic2007.1969,Siderópolis
RedeUrbanaSintese_Regic2007.1970,Treviso
RedeUrbanaSintese_Regic2007.1971,Urussanga
RedeUrbanaSintese_Regic2007.1972,Garopaba
RedeUrbanaSintese_Regic2007.1973,Imaruí
RedeUrbanaSintese_Regic2007.1974,Garopaba
RedeUrbanaSintese_Regic2007.1975,Imaruí
RedeUrbanaSintese_Regic2007.1976,Balneário Camboriú
RedeUrbanaSintese_Regic2007.1977,Bombinhas
RedeUrbanaSintese_Regic2007.1978,Ilhota
RedeUrbanaSintese_Regic2007.1979,Almino Afonso
RedeUrbanaSintese_Regic2007.1980,Luiz Alves
RedeUrbanaSintese_Regic2007.1981,Navegantes
RedeUrbanaSintese_Regic2007.1982,Penha
RedeUrbanaSintese_Regic2007.1983,Piçarras
RedeUrbanaSintese_Regic2007.1984,Balneário Camboriú
RedeUrbanaSintese_Regic2007.1985,Bombinhas
RedeUrbanaSintese_Regic2007.1986,Ilhota
RedeUrbanaSintese_Regic2007.1987,Luiz Alves
RedeUrbanaSintese_Regic2007.1988,Navegantes
RedeUrbanaSintese_Regic2007.1989,Penha
RedeUrbanaSintese_Regic2007.1990,Antônio Martins
RedeUrbanaSintese_Regic2007.1991,Piçarras
RedeUrbanaSintese_Regic2007.1992,Água Doce
RedeUrbanaSintese_Regic2007.1993,Campos Novos
RedeUrbanaSintese_Regic2007.1994,Capinzal
RedeUrbanaSintese_Regic2007.1995,Catanduvas
RedeUrbanaSintese_Regic2007.1996,Erval Velho
RedeUrbanaSintese_Regic2007.1997,Herval d'Oeste
RedeUrbanaSintese_Regic2007.1998,Ibicaré
RedeUrbanaSintese_Regic2007.1999,Jaborá
RedeUrbanaSintese_Regic2007.2000,Lacerdópolis
RedeUrbanaSintese_Regic2007.2001,Lagoa
RedeUrbanaSintese_Regic2007.2002,Antônio Martins
RedeUrbanaSintese_Regic2007.2003,Luzerna
RedeUrbanaSintese_Regic2007.2398,Urupá
RedeUrbanaSintese_Regic2007.2004,Treze Tílias
RedeUrbanaSintese_Regic2007.2005,Vargem Bonita
RedeUrbanaSintese_Regic2007.2006,Água Doce
RedeUrbanaSintese_Regic2007.2007,Campos Novos
RedeUrbanaSintese_Regic2007.2008,Capinzal
RedeUrbanaSintese_Regic2007.2009,Catanduvas
RedeUrbanaSintese_Regic2007.2010,Erval Velho
RedeUrbanaSintese_Regic2007.2011,Herval d'Oeste
RedeUrbanaSintese_Regic2007.2012,Ibicaré
RedeUrbanaSintese_Regic2007.2013,Rafael Godeiro
RedeUrbanaSintese_Regic2007.2014,Jaborá
RedeUrbanaSintese_Regic2007.2015,Lacerdópolis
RedeUrbanaSintese_Regic2007.2016,Luzerna
RedeUrbanaSintese_Regic2007.2017,Treze Tílias
RedeUrbanaSintese_Regic2007.2018,Vargem Bonita
RedeUrbanaSintese_Regic2007.2019,Anita Garibaldi
RedeUrbanaSintese_Regic2007.2020,Bocaina do Sul
RedeUrbanaSintese_Regic2007.2021,Bom Jardim da Serra
RedeUrbanaSintese_Regic2007.2022,Bom Retiro
RedeUrbanaSintese_Regic2007.2023,Capão Alto
RedeUrbanaSintese_Regic2007.2399,Vale do Paraíso
RedeUrbanaSintese_Regic2007.2024,Rafael Godeiro
RedeUrbanaSintese_Regic2007.2025,Campo Belo do Sul
RedeUrbanaSintese_Regic2007.2026,Cerro Negro
RedeUrbanaSintese_Regic2007.2027,Correia Pinto
RedeUrbanaSintese_Regic2007.2028,Curitibanos
RedeUrbanaSintese_Regic2007.2029,Otacílio Costa
RedeUrbanaSintese_Regic2007.2030,Painel
RedeUrbanaSintese_Regic2007.2031,Palmeira
RedeUrbanaSintese_Regic2007.2448,Japurá
